date,gs
5/4/99,70.38
5/5/99,69.13
5/6/99,67.94
5/7/99,74.13
5/10/99,70.69
5/11/99,70.63
5/12/99,73.5
5/13/99,74.25
5/14/99,70.19
5/17/99,68.63
5/18/99,68.63
5/19/99,69.31
5/20/99,68.38
5/21/99,67.5
5/24/99,65.31
5/25/99,64.5
5/26/99,66.06
5/27/99,67.75
5/28/99,67.94
6/1/99,64.19
6/2/99,63.25
6/3/99,63.63
6/4/99,65.38
6/7/99,65.94
6/8/99,63.75
6/9/99,65.5
6/10/99,63.38
6/11/99,62.94
6/14/99,61.25
6/15/99,62.75
6/16/99,65.25
6/17/99,65
6/18/99,64.81
6/21/99,69.5
6/22/99,68
6/23/99,65
6/24/99,65.06
6/25/99,66.25
6/28/99,66.56
6/29/99,67.75
6/30/99,72.25
7/1/99,70.81
7/2/99,70.94
7/6/99,70.5
7/7/99,68
7/8/99,67.25
7/9/99,67.25
7/12/99,68.38
7/13/99,67.88
7/14/99,67.63
7/15/99,67.94
7/16/99,68.06
7/19/99,69.44
7/20/99,68.13
7/21/99,67.88
7/22/99,66.5
7/23/99,64.06
7/26/99,63.25
7/27/99,65.5
7/28/99,66.06
7/29/99,65
7/30/99,64.31
8/2/99,62.81
8/3/99,60.81
8/4/99,60
8/5/99,59.25
8/6/99,56.25
8/9/99,55.81
8/10/99,57
8/11/99,61.5
8/12/99,60.69
8/13/99,63.13
8/16/99,62.88
8/17/99,63
8/18/99,62.31
8/19/99,61.69
8/20/99,62.44
8/23/99,63.63
8/24/99,63.44
8/25/99,64
8/26/99,62.75
8/27/99,61.56
8/30/99,59.31
8/31/99,59.81
9/1/99,60.31
9/2/99,59.25
9/3/99,63.13
9/7/99,62.5
9/8/99,62.56
9/9/99,61.75
9/10/99,63.09
9/13/99,62.13
9/14/99,59.38
9/15/99,58.31
9/16/99,57.69
9/17/99,60.06
9/20/99,60.75
9/21/99,59.13
9/22/99,61.31
9/23/99,60.81
9/24/99,61.94
9/27/99,61.56
9/28/99,62.25
9/29/99,61.44
9/30/99,61
10/1/99,59.19
10/4/99,61.69
10/5/99,62.25
10/6/99,64
10/7/99,63.19
10/8/99,63.94
10/11/99,63.69
10/12/99,62.94
10/13/99,61
10/14/99,62
10/15/99,59.75
10/18/99,59.25
10/19/99,60.38
10/20/99,61.75
10/21/99,61.81
10/22/99,65.5
10/25/99,64
10/26/99,61.81
10/27/99,64.38
10/28/99,72
10/29/99,71
11/1/99,69.38
11/2/99,69.75
11/3/99,68.75
11/4/99,70.13
11/5/99,73.69
11/8/99,73
11/9/99,71.88
11/10/99,71.94
11/11/99,73.31
11/12/99,79.75
11/15/99,78
11/16/99,82.81
11/17/99,79.56
11/18/99,80.19
11/19/99,79.94
11/22/99,79.69
11/23/99,77.75
11/24/99,77.13
11/26/99,77.31
11/29/99,74.5
11/30/99,75.13
12/1/99,76.19
12/2/99,77.5
12/3/99,79.06
12/6/99,77
12/7/99,80.94
12/8/99,80
12/9/99,80
12/10/99,82
12/13/99,82.06
12/14/99,78.75
12/15/99,79.44
12/16/99,78.56
12/17/99,80.19
12/20/99,81.88
12/21/99,80.94
12/22/99,79.69
12/23/99,81
12/27/99,82.06
12/28/99,85
12/29/99,88
12/30/99,92.19
12/31/99,94.19
1/3/00,88.31
1/4/00,82.75
1/5/00,79.69
1/6/00,82.25
1/7/00,82.56
1/10/00,84.38
1/11/00,84.81
1/12/00,84.38
1/13/00,84.5
1/14/00,85.63
1/18/00,86.88
1/19/00,87.56
1/20/00,85.94
1/21/00,85.69
1/24/00,81.75
1/25/00,83.88
1/26/00,88.25
1/27/00,89
1/28/00,87
1/31/00,91.63
2/1/00,91.25
2/2/00,91.13
2/3/00,85.38
2/4/00,84.69
2/7/00,85.75
2/8/00,89.44
2/9/00,86.75
2/10/00,86.63
2/11/00,85.13
2/14/00,86.5
2/15/00,86.5
2/16/00,82.94
2/17/00,82.13
2/18/00,80.81
2/22/00,81.56
2/23/00,85.75
2/24/00,89.63
2/25/00,89.25
2/28/00,88
2/29/00,92.5
3/1/00,94.75
3/2/00,96.25
3/3/00,102.5
3/6/00,103.7
3/7/00,104.9
3/8/00,101.8
3/9/00,107.2
3/10/00,112.3
3/13/00,110.4
3/14/00,104.8
3/15/00,103.6
3/16/00,103.3
3/17/00,116.5
3/20/00,113.4
3/21/00,118.3
3/22/00,117.1
3/23/00,119
3/24/00,121.3
3/27/00,112
3/28/00,113.3
3/29/00,114.2
3/30/00,106.9
3/31/00,105.3
4/3/00,105.5
4/4/00,98.25
4/5/00,97.44
4/6/00,106
4/7/00,102.5
4/10/00,107.1
4/11/00,104.8
4/12/00,96.56
4/13/00,95.25
4/14/00,82.75
4/17/00,87.5
4/18/00,93.75
4/19/00,92.06
4/20/00,88.81
4/24/00,86.88
4/25/00,97.06
4/26/00,94.5
4/27/00,95.19
4/28/00,93.25
5/1/00,97
5/2/00,93
5/3/00,91.13
5/4/00,90.19
5/5/00,89.88
5/8/00,87.31
5/9/00,85.63
5/10/00,81.44
5/11/00,80.88
5/12/00,83.77
5/15/00,87.06
5/16/00,85.5
5/17/00,84.69
5/18/00,85.25
5/19/00,84.56
5/22/00,82
5/23/00,82.81
5/24/00,80
5/25/00,73
5/26/00,69.81
5/30/00,72
5/31/00,73.56
6/1/00,76.38
6/2/00,86.88
6/5/00,84.5
6/6/00,83.13
6/7/00,86.69
6/8/00,85.06
6/9/00,83.25
6/12/00,83.31
6/13/00,85.13
6/14/00,89.94
6/15/00,90.25
6/16/00,89.94
6/19/00,91.63
6/20/00,89
6/21/00,86.63
6/22/00,84.25
6/23/00,86
6/26/00,87.75
6/27/00,88.31
6/28/00,89.88
6/29/00,92.63
6/30/00,94.77
7/3/00,94.94
7/5/00,95.94
7/6/00,93.19
7/7/00,94.94
7/10/00,97.69
7/11/00,98.5
7/12/00,101.9
7/13/00,104.3
7/14/00,104.2
7/17/00,100
7/18/00,103.9
7/19/00,100.8
7/20/00,103.7
7/21/00,104.3
7/24/00,105.4
7/25/00,106
7/26/00,105.9
7/27/00,100
7/28/00,98.5
7/31/00,98.69
8/1/00,100.6
8/2/00,102.1
8/3/00,105.6
8/4/00,111.3
8/7/00,114.1
8/8/00,113
8/9/00,114.9
8/10/00,112
8/11/00,119.9
8/14/00,120.8
8/15/00,118.2
8/16/00,115.3
8/17/00,118.6
8/18/00,117
8/21/00,117.8
8/22/00,119.9
8/23/00,119
8/24/00,118.3
8/25/00,119.4
8/28/00,122.4
8/29/00,127.4
8/30/00,123.7
8/31/00,129.5
9/1/00,129.6
9/5/00,128.8
9/6/00,128.1
9/7/00,128.7
9/8/00,124.3
9/11/00,132
9/12/00,131.3
9/13/00,128.5
